tmin	tier	text	tmax
275.161452	BHGR	1	275.370828
276.417707	BHGR	1	276.530055
276.933486	BHGR	1	277.056047
277.403305	BHGR	1	277.709708
277.666768	SPTO2	1	278.494127
277.979919	BHGR	1	278.470164
278.720394	BHGR	1	278.996157
279.312774	BHGR	1	279.614071
279.854087	BHGR	1	279.946008
280.048142	BHGR	1	280.405613
280.584349	BHGR	1	281.140982
281.411638	BHGR	1	281.626120
282.739387	BHGR	1	283.188778
282.822949	SPTO	1	283.507849
283.479421	BHGR	1	283.663264
285.236135	BHGR	1	285.353589
285.665100	BHGR	1	285.777448
286.211519	BHGR	1	286.568990
287.365459	SPTO2	1	288.225694
287.488201	BHGR	1	287.641402
288.014193	BHGR	1	288.213355
288.478905	BHGR	1	288.662747
289.040645	BHGR	1	289.341942
289.459396	BHGR	1	289.827081
290.021136	BHGR	1	290.551790
290.735632	BHGR	1	290.914367
291.031046	SPTO	1	291.770739
292.676187	BHGR	1	292.865136
293.079619	BHGR	1	293.421769
293.840521	BHGR	1	294.228632
294.361407	BHGR	1	294.912933
295.061028	BHGR	1	295.357218
295.530847	BHGR	1	296.204934
295.589994	SPTO2	1	296.329687
296.393443	BHGR	1	296.648779
297.006250	BHGR	1	297.368827
297.792685	BHGR	1	297.915247
298.221650	BHGR	1	298.425919
